CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
1,Male,44,-1,55
2,Male,35,95,72
3,Female,54,80,87
4,Female,69,111,28
5,Male,34,66,39
6,Female,62,59,55
7,Male,42,18,90
8,Male,43,129,37
9,Male,28,139,41
10,Male,25,57,98
11,Female,45,26,90
12,Female,24,144,47
13,Male,37,125,30
14,Male,65,9,78
15,Female,63,144,56
16,Female,19,140,44
17,Female,54,43,105
18,Female,22,103,24
19,Female,56,3,78
20,Female,39,25,89
21,Female,24,65,43
22,Male,59,94,76
23,Male,47,98,22
24,Female,42,3,62
25,Female,18,28,91
26,Female,65,31,94
27,Female,52,7,76
28,Male,49,24,94
29,Male,66,62,39
30,Male,37,70,30
31,Male,18,100,63
32,Female,30,95,78
33,Male,49,48,99
34,Female,26,10,84
35,Female,54,98,27
36,Male,65,50,68
37,Female,46,77,32
38,Female,18,79,30
39,Male,44,124,29
40,Male,19,10,82
41,Male,27,11,79
42,Female,35,151,76
43,Female,39,68,94
44,Female,55,88,84
45,Male,60,63,45
46,Female,28,147,72
47,Female,27,82,88
48,Male,27,91,78
49,Female,56,89,28
50,Female,38,7,70
51,Female,63,58,55
52,Male,61,134,38
53,Female,39,96,54
54,Female,66,66,36
55,Female,66,57,47
56,Male,52,11,87
57,Male,35,84,27
58,Female,19,-2,50
59,Male,66,136,37
60,Female,25,1,51
61,Female,27,134,38
62,Male,64,3,55
63,Female,58,77,92
64,Female,30,99,67
65,Male,27,71,90
66,Female,20,56,50
67,Male,25,60,97
68,Male,69,148,55
69,Female,60,4,67
70,Male,27,80,33
71,Female,39,44,104
72,Female,61,65,34
73,Female,66,118,33
74,Female,64,63,95
75,Male,22,54,47
76,Male,55,49,51
77,Male,25,87,90
78,Female,51,83,26
79,Female,29,50,80
80,Male,50,54,60
81,Female,30,99,53
82,Female,35,13,82
83,Female,59,50,102
84,Female,39,144,61
85,Female,47,150,62
86,Male,54,5,71
87,Female,47,116,28
88,Male,57,72,94
89,Male,25,146,60
90,Female,48,34,100
91,Female,32,89,83
92,Female,61,85,28
93,Male,21,51,71
94,Female,34,70,90
95,Male,33,95,70
96,Female,55,153,66
97,Male,36,113,27
98,Female,37,99,61
99,Female,32,81,90
100,Female,63,59,47
101,Male,27,98,54
102,Female,41,81,95
103,Female,30,83,25
104,Male,33,95,22
105,Male,63,53,62
106,Female,38,89,25
107,Female,55,92,70
108,Male,23,29,98
109,Male,65,55,59
110,Male,40,93,25
111,Male,36,126,33
112,Female,64,102,48
113,Male,44,148,76
114,Male,44,100,29
115,Male,52,18,89
116,Male,20,61,41
117,Female,55,30,96
118,Male,29,59,99
119,Female,61,117,27
120,Male,68,80,89
121,Male,61,65,100
122,Female,46,52,62
123,Female,33,114,26
124,Male,50,109,30
125,Male,62,88,90
126,Male,66,86,85
127,Female,50,140,54
128,Female,41,95,21
129,Male,48,10,72
130,Male,27,61,98
131,Female,60,129,35
132,Female,63,55,103
133,Male,19,2,57
134,Male,40,106,24
135,Male,28,60,96
136,Female,31,83,28
137,Male,51,100,55
138,Female,27,44,64
139,Female,40,44,99
140,Female,18,75,32
141,Female,52,144,47
142,Female,35,138,40
143,Male,49,141,54
144,Male,35,53,103
145,Male,57,6,77
146,Female,22,74,99
147,Female,50,99,64
148,Female,26,52,62
149,Male,69,4,62
150,Female,53,3,73
151,Female,30,140,43
152,Male,28,140,47
153,Female,18,-1,69
154,Male,59,100,62
155,Female,35,96,64
156,Male,37,33,101
157,Female,61,133,37
158,Male,42,72,35
159,Female,38,92,71
160,Female,51,17,88
161,Female,44,138,36
162,Female,57,76,30
163,Male,65,123,33
164,Female,66,145,49
165,Female,23,34,94
166,Male,41,41,98
167,Female,23,49,62
168,Female,57,45,99
169,Male,57,149,64
170,Female,24,36,98
171,Female,19,53,102
172,Male,29,5,65
173,Female,69,87,82
174,Female,35,36,95
175,Male,49,122,26
176,Female,32,147,58
177,Female,35,71,32
178,Female,31,69,98
179,Female,55,109,26
180,Male,66,152,59
181,Female,60,97,49
182,Male,57,45,99
183,Male,28,96,23
184,Female,18,69,33
185,Female,19,102,27
186,Male,22,52,71
187,Male,29,-2,49
188,Male,49,62,53
189,Female,23,2,72
190,Male,48,13,83
191,Male,54,64,40
192,Female,48,145,77
193,Female,40,90,79
194,Male,49,146,57
195,Female,32,17,87
196,Female,24,49,64
197,Female,51,93,70
198,Female,62,-5,62
199,Male,48,141,45
200,Female,21,50,72
